2022-02-22 12:25:44.838 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661318705596592] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_18 originally posted by user [ID:5057756204]
2022-02-22 12:25:44.839 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459859]: [success] (in 120 ms)
2022-02-22 12:25:46.099 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661316047139574] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: cities originally posted by user [ID:5057756204]
2022-02-22 12:25:46.252 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661316047139574] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: cities originally posted by user [ID:5057756204]
2022-02-22 12:25:46.253 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459860]: [success] (in 155 ms)
2022-02-22 12:25:48.051 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661318646424717] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:25:48.174 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661318646424717] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:25:48.175 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459861]: [success] (in 124 ms)
2022-02-22 12:25:50.113 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661317119460099] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_138 originally posted by user [ID:5057756204]
2022-02-22 12:25:50.283 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661317119460099] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_138 originally posted by user [ID:5057756204]
2022-02-22 12:25:50.284 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459862]: [success] (in 171 ms)
2022-02-22 12:25:55.624 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661317048210118] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:25:55.749 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661317048210118] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:25:55.750 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459863]: [success] (in 126 ms)
2022-02-22 12:25:59.226 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661317674710740] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_137 originally posted by user [ID:5057756204]
2022-02-22 12:25:59.394 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661317674710740] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_137 originally posted by user [ID:5057756204]
2022-02-22 12:25:59.395 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459864]: [success] (in 170 ms)
2022-02-22 12:26:03.469 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661318065073528] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:26:03.575 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661318065073528] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:26:03.576 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459865]: [success] (in 108 ms)
2022-02-22 12:26:05.124 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661319373688911] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_135 originally posted by user [ID:5057756204]
2022-02-22 12:26:05.251 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661319373688911] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_135 originally posted by user [ID:5057756204]
2022-02-22 12:26:05.252 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459866]: [success] (in 128 ms)
2022-02-22 12:26:08.476 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661319446234653] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:26:08.593 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661319446234653] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:26:08.594 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459867]: [success] (in 118 ms)
2022-02-22 12:26:10.901 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661319740120687] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_139 originally posted by user [ID:5057756204]
2022-02-22 12:26:11.057 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661319740120687] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: area_139 originally posted by user [ID:5057756204]
2022-02-22 12:26:11.058 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459868]: [success] (in 157 ms)
2022-02-22 12:26:15.512 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661318098272762] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: good_5_139 originally posted by user [ID:5057756204]
2022-02-22 12:26:15.673 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661318098272762] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: good_5_139 originally posted by user [ID:5057756204]
2022-02-22 12:26:15.674 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459869]: [success] (in 163 ms)
2022-02-22 12:26:18.647 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661319672391804] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: position_2507 originally posted by user [ID:5057756204]
2022-02-22 12:26:18.942 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661319672391804] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: position_2507 originally posted by user [ID:5057756204]
2022-02-22 12:26:18.944 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459870]: [success] (in 297 ms)
2022-02-22 12:26:21.330 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:5297661316224878332] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: pay_2507_discount_3 originally posted by user [ID:5057756204]
2022-02-22 12:26:21.610 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:5297661316224878332] from user [ID:1233457894] for message [ID:25486] in chat [private:1233457894] with data: pay_2507_discount_3 originally posted by user [ID:5057756204]
2022-02-22 12:26:21.611 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459871]: [success] (in 282 ms)
2022-02-22 12:36:12.610 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:6370409990545044518] from user [ID:1483226658] for message [ID:25436] in chat [private:1483226658] with data: cities originally posted by user [ID:5057756204]
2022-02-22 12:36:12.764 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:6370409990545044518] from user [ID:1483226658] for message [ID:25436] in chat [private:1483226658] with data: cities originally posted by user [ID:5057756204]
2022-02-22 12:36:12.765 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459872]: [success] (in 156 ms)
2022-02-22 12:36:22.369 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:6370409990800129784] from user [ID:1483226658] for message [ID:25436] in chat [private:1483226658] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:36:22.470 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:6370409990800129784] from user [ID:1483226658] for message [ID:25436] in chat [private:1483226658] with data: city_38 originally posted by user [ID:5057756204]
2022-02-22 12:36:22.471 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459873]: [success] (in 103 ms)
2022-02-22 12:36:24.066 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:6370409990539880703] from user [ID:1483226658] for message [ID:25436] in chat [private:1483226658] with data: area_135 originally posted by user [ID:5057756204]
2022-02-22 12:36:24.181 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:6370409990539880703] from user [ID:1483226658] for message [ID:25436] in chat [private:1483226658] with data: area_135 originally posted by user [ID:5057756204]
2022-02-22 12:36:24.183 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459874]: [success] (in 117 ms)
2022-02-22 12:36:25.255 | INFO     | aiogram.contrib.middlewares.logging:on_pre_process_callback_query:101 - Received callback query [ID:6370409989595469753] from user [ID:1483226658] for message [ID:25436] in chat [private:1483226658] with data: good_5_135 originally posted by user [ID:5057756204]
2022-02-22 12:36:25.336 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_callback_query:121 - Unhandled callback query [ID:6370409989595469753] from user [ID:1483226658] for message [ID:25436] in chat [private:1483226658] with data: good_5_135 originally posted by user [ID:5057756204]
2022-02-22 12:36:25.337 | INFO     | aiogram.contrib.middlewares.logging:on_post_process_update:33 - Process update [ID:3459875]: [success] (in 83 ms)
